Date,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h)
2025-01-01,34.37,73.74,3.36,8.91
2025-01-02,30.31,52.06,4.3,8.91
2025-01-03,29.29,64.2,3.96,10.16
2025-01-04,23.41,70.64,4.97,16.2
2025-01-05,28.17,77.33,5.54,9.45
2025-01-06,27.94,66.49,6.73,7.52
2025-01-07,28.75,59.69,6.29,11.85
2025-01-08,27.12,57.69,3.78,13.12
2025-01-09,28.87,71.45,4.78,10.03
2025-01-10,27.57,68.13,3.23,16.86
2025-01-11,25.06,59.83,2.83,12.72
2025-01-12,31.65,63.11,7.82,13.36
2025-01-13,31.64,60.84,3.08,9.43
2025-01-14,34.13,72.25,7.98,11.88
2025-01-15,29.15,58.1,3.3,11.53
2025-01-16,27.79,69.86,4.51,5.18
2025-01-17,27.36,73.52,6.18,12.86
2025-01-18,24.36,69.86,4.05,6.62
2025-01-19,31.95,56.66,4.79,11.91
2025-01-20,25.7,78.45,3.52,7.58
2025-01-21,25.44,58.22,3.05,18.06
2025-01-22,28.38,69.26,3.67,12.98
2025-01-23,33.46,57.47,2.7,14.58
2025-01-24,29.71,47.56,7.26,14.76
2025-01-25,25.93,67.26,3.66,8.03
2025-01-26,26.86,67.87,7.45,5.15
2025-01-27,30.88,64.23,0.0,11.01
2025-01-28,28.52,67.76,4.04,14.69
2025-01-29,26.69,58.52,5.12,12.27
2025-01-30,28.31,57.63,3.41,14.36
2025-01-31,31.24,63.32,6.19,14.81
2025-02-01,34.93,84.09,5.28,7.52
2025-02-02,25.27,73.15,3.45,12.86
2025-02-03,27.12,59.8,4.87,17.9
2025-02-04,26.59,70.59,9.62,10.29
2025-02-05,21.74,60.22,4.5,5.91
2025-02-06,26.23,60.43,4.6,11.3
2025-02-07,25.93,73.59,3.12,10.61
2025-02-08,32.37,59.75,4.27,13.26
2025-02-09,28.6,48.24,1.42,9.32
2025-02-10,24.13,55.94,3.6,12.27
2025-02-11,30.94,65.88,8.92,5.35
2025-02-12,27.93,66.28,6.13,14.56
2025-02-13,23.77,77.42,5.28,16.76
2025-02-14,27.21,57.84,6.21,15.89
2025-02-15,27.23,72.31,7.76,7.45
2025-02-16,26.38,69.26,5.19,12.96
2025-02-17,29.09,63.51,8.14,3.05
2025-02-18,22.26,73.36,6.14,12.85
2025-02-19,28.2,69.92,4.33,11.81
2025-02-20,32.04,56.38,7.44,9.01
2025-02-21,31.56,75.72,0.0,13.03
2025-02-22,32.32,52.79,2.86,12.41
2025-02-23,32.36,65.6,4.53,14.82
2025-02-24,33.46,65.02,2.18,12.38
2025-02-25,25.65,69.25,3.69,12.71
2025-02-26,31.54,57.75,2.72,6.16
2025-02-27,23.42,64.65,2.69,8.52
2025-02-28,27.19,63.59,9.42,10.57
2025-03-01,23.26,74.97,5.25,12.89
2025-03-02,32.14,57.04,3.89,11.98
2025-03-03,33.0,65.73,6.63,16.5
2025-03-04,28.41,62.39,3.53,9.39
2025-03-05,34.32,52.02,5.77,11.28
2025-03-06,26.98,91.76,4.7,12.77
2025-03-07,29.45,64.29,7.25,11.31
2025-03-08,29.46,50.13,1.16,13.49
2025-03-09,25.81,79.09,5.53,10.29
2025-03-10,30.31,54.29,4.24,16.26
2025-03-11,34.82,68.71,1.69,11.04
2025-03-12,25.93,73.63,6.13,15.35
2025-03-13,31.7,58.52,2.26,11.91
2025-03-14,28.54,60.69,7.24,16.47
2025-03-15,34.31,59.6,5.03,7.81
2025-03-16,30.45,63.71,5.39,13.55
2025-03-17,31.03,48.78,4.16,10.7
2025-03-18,30.93,52.64,5.81,12.69
2025-03-19,29.75,63.59,0.27,15.58
2025-03-20,24.81,75.39,4.15,8.58
2025-03-21,33.17,71.32,2.74,8.03
2025-03-22,24.89,82.29,4.57,9.0
2025-03-23,29.72,71.94,3.91,12.76
2025-03-24,30.84,59.89,5.23,6.34
2025-03-25,26.49,63.77,2.32,12.29
2025-03-26,29.44,44.7,7.68,8.14
2025-03-27,32.5,55.39,8.63,8.57
2025-03-28,28.93,54.8,3.58,10.89
2025-03-29,26.33,67.71,3.97,13.14
2025-03-30,20.25,71.48,4.58,10.12
2025-03-31,26.08,59.4,6.53,10.52
2025-04-01,27.23,59.11,7.79,11.87
2025-04-02,27.45,49.53,1.59,11.18
2025-04-03,26.12,63.72,2.77,3.97
2025-04-04,30.13,67.48,1.88,10.71
2025-04-05,27.28,69.46,1.77,12.25
2025-04-06,28.67,57.17,0.72,15.29
2025-04-07,31.04,84.88,4.73,18.14
2025-04-08,26.43,76.95,1.68,14.0
2025-04-09,28.1,64.05,7.01,12.24
2025-04-10,35.47,59.73,5.82,9.11
